Date,P1,P2,P3,P4,P5,LowMinusHigh
2021-02-01,-1.436211118368591,1.2963917495403459,4.864300455953927,8.962268703210526,16.29657556793166,-17.73278668630025
2021-03-01,8.827158729105737,6.312388441266842,6.029115542381889,5.335118126367618,3.758293984862901,5.068864744242836
2021-04-01,4.356314594643842,5.187139287956893,5.582197026701619,5.130221615020279,3.983124329854152,0.37319026478968986
2021-05-01,2.2119339314204525,1.2284021435306063,1.7315383738937422,1.727323134397002,3.3947887978781544,-1.1828548664577019
2021-06-01,-0.11126809193580689,-0.4404070255718557,0.6781490537457614,0.7679307113233624,-0.5236140974454111,0.4123460055096042
2021-07-01,2.82765766623104,2.3519283507195667,3.356793783771944,1.911099282524786,-3.6766574598785615,6.504315126109601
2021-08-01,2.744327339011193,2.0093690520398173,2.205722017671654,2.148611578636518,2.1230977306676864,0.6212296083435067
2021-09-01,-5.359413274152728,-5.499607582980414,-4.990366399457048,-4.052531290381746,0.1770992042131799,-5.536512478365908
2021-10-01,5.86920123027349,5.728321828393235,5.031226052339938,4.712405889191521,5.656192593654303,0.213008636619187
2021-11-01,-1.815071488947744,-1.9354133551935524,-2.3813692083989455,-2.725129871806415,-2.595735538985329,0.7806640500375852
2021-12-01,8.828257685110204,6.609482280786061,6.283752629667825,6.5062789180226375,4.864919351360244,3.9633383337499604
2022-01-01,-4.548239683116966,-3.8361860620262123,-6.157866923327766,-4.044798671958719,-3.20787480489545,-1.340364878221516
2022-02-01,-0.7691410251560423,-1.622862178461664,-2.32624349093592,-2.2896740536056184,1.1570097344749148,-1.926150759630957
2022-03-01,2.8530852596033642,3.503341362831499,2.491234796310056,2.1607101831376987,2.5398670475297647,0.31321821207359957
2022-04-01,-3.95634871241495,-4.636822210601509,-6.355498028644794,-6.64429862224076,-10.071617113376869,6.115268400961918
2022-05-01,1.118338031259006,0.8930937269552844,0.027758426283269893,0.19651300702133676,2.7041505281416534,-1.5858124968826472
2022-06-01,-6.527337912154418,-9.507763439113031,-9.055680489683814,-7.920624402293067,-13.538043998631817,7.010706086477399
2022-07-01,5.014992507495227,6.996171581559966,9.026807518109607,10.915688460412532,12.21079714332048,-7.195804635825254
2022-08-01,-1.8230803728500669,-3.4574282226261843,-4.261266237547946,-4.178802026343907,-4.139168568702184,2.316088195852117
2022-09-01,-7.830281409981729,-8.703338345461042,-7.83054959603467,-11.102901150706831,-11.104758124860528,3.2744767148787988
2022-10-01,9.572918990984144,9.623928174665922,8.731263579095875,9.177386412063766,12.198680242612319,-2.625761251628175
2022-11-01,4.881200474120888,7.524552812745271,8.080557561411904,6.953933111336082,7.57572683307281,-2.694526358951922
2022-12-01,-2.9956983710351617,-3.5285829758932086,-5.236374259068283,-4.663573017189154,-7.523740425981966,4.528042054946805
2023-01-01,2.2222085484169996,3.530774140171861,7.2319553146621045,10.56036703142124,13.547208553434102,-11.325000005017102
2023-02-01,-3.2774209436087394,-2.788651020903249,-3.404456868524758,-4.611399873450901,-3.0477725940212483,-0.22964834958749103
2023-03-01,0.23582171298125018,-0.38334623464557854,-0.6458726198121556,0.06917578384428621,-0.12112768607335142,0.3569493990546016
2023-04-01,3.2609410090638495,0.8122737439721216,1.2630843570034682,-0.01024655948939754,-2.6231953550981006,5.88413636416195
2023-05-01,-5.221360781539419,-3.858221106809817,-3.5616171328857966,-5.731959415738459,-0.4802255319489199,-4.741135249590499
2023-06-01,3.5679848510258303,7.145193363707865,9.1472550639659,8.402868147036287,11.198220355352591,-7.630235504326761
2023-07-01,1.3700023285323102,1.2846819542826478,3.413016424020485,5.367246723696525,6.213746745580719,-4.843744417048409
2023-08-01,-2.9761532650163627,-1.2200762455227512,-3.0880525044196494,-3.34159715647177,-4.929751532245945,1.953598267229582
2023-09-01,-4.694072745520593,-4.261479796979163,-4.789468285773018,-4.889222401509977,-7.0504325793004,2.3563598337798073
2023-10-01,-1.1636438867646717,-2.1278425416571154,-3.5600946196364114,-4.753185277321002,-8.61626520446883,7.452621317704158
2023-11-01,5.8743633383762095,8.730893768568919,10.04559432753594,9.30758146987687,12.04513123491206,-6.17076789653585
2023-12-01,1.918465379751568,4.133632289860691,7.415494168464098,9.186133574429729,12.456742696096027,-10.538277316344459
2024-01-01,0.8399923884377425,-0.09829420545535297,-0.6129946783996157,-1.0593948174782577,-3.3837530915488947,4.223745479986637
2024-02-01,2.1925934379409795,4.117158420648509,4.096483212870002,5.460793193135768,4.388696780914868,-2.1961033429738888
2024-03-01,3.5445575653077275,3.7034743085320225,4.866675043364441,5.802606336369537,4.734798963533939,-1.1902413982262119
2024-04-01,-2.551850244089851,-4.7500695787385325,-5.160568806179895,-6.1386599114226525,-6.463101926128561,3.9112516820387104
2024-05-01,3.0965075823181167,2.7230881581903215,2.767706742769011,2.903927979497917,2.1966105266166966,0.8998970557014201
2024-06-01,-0.12625534921784606,0.3503781362740659,-0.4167159955185298,0.5898139572917699,-2.3511602585963254,2.224904909378479
2024-07-01,4.629640253263637,4.411655897257515,4.5162674428760825,4.798710088433937,4.55567232744112,0.07396792582251699
2024-08-01,4.945537387554942,3.4904940196580903,1.9142542725640892,2.7413821682147432,-0.687705758329788,5.633243145884729
2024-09-01,1.0665147836864153,1.4808565789414954,1.8318531830964382,3.36672797265242,3.6139979995085265,-2.547483215822111
2024-10-01,-0.9513255662228541,-0.4184540196374705,-2.1165182687729476,-2.3723399055616228,-2.3344880953378473,1.3831625291149932
2024-11-01,5.284678279479808,7.279137479550175,6.042757608552599,5.822350433179103,6.650502206572613,-1.365823927092805
